   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.72328,             0.83155,             0.81172,              0.6435,            0.018185,            0.014668,            0.012435,             0.00721,              0.0123,             0.90816,             0.00044,              3.2816,             0.56613,             0.08614,             0.05738,             0.42117,             0.58856,              1.0041,             0.79599,                 0.2,              4.8235,                   0,             0.01499,             0.75376,             0.36559,                   0,             0.10094,             0.52943,                   0,                   0,                   0,                 0.5,             0.81343,                   0,                   0,                   2
             0.71955,             0.81834,             0.81233,             0.64027,            0.019079,            0.017406,            0.016278,             0.00636,              0.0123,             0.89385,              0.0005,              2.4726,             0.78957,             0.10135,             0.05999,             0.53436,             0.57371,             0.99579,              1.0488,                 0.2,               4.068,                   0,             0.01499,             0.79783,             0.40034,                   0,             0.10094,             0.52168,                   0,                   0,                   0,                 0.5,             0.81343,                   0,                   0,               2.188
             0.72084,             0.81814,             0.81601,             0.64659,            0.018871,            0.015972,            0.016288,             0.00671,              0.0122,             0.90995,              0.0005,              2.5283,              0.7828,             0.10295,             0.05915,             0.49284,             0.59364,              1.0071,             0.94053,                 0.2,              4.5396,                   0,             0.01499,              0.7632,             0.40034,                   0,              0.1015,             0.47004,                   0,                   0,                   0,                 0.5,             0.79398,                   0,                   0,              3.6658
             0.76575,             0.80176,              0.8317,             0.65019,            0.019383,            0.022067,            0.016024,             0.00565,              0.0123,             0.91314,             0.00048,              2.4978,             0.80262,             0.11058,             0.05999,             0.54228,             0.58464,              1.1149,              1.3163,                 0.2,              5.2038,                   0,             0.01626,             0.73399,             0.34096,                   0,             0.08802,             0.48877,                   0,                   0,                   0,                 0.5,             0.64811,                   0,                   0,              2.4819
             0.72547,             0.82266,             0.82144,             0.64483,            0.017519,            0.014433,            0.012339,             0.00603,              0.0123,              0.9102,             0.00054,              2.3996,             0.72869,             0.10577,             0.05464,             0.44509,             0.50953,             0.93279,             0.89142,                 0.2,              5.1942,                   0,             0.01555,             0.34586,             0.36837,                   0,             0.09716,             0.47471,                   0,                   0,                   0,                 0.5,             0.86174,                   0,                   0,              2.3063
             0.72631,             0.82575,              0.8182,             0.64826,            0.019342,            0.015346,            0.015422,             0.00658,                0.01,              0.9397,              0.0005,              2.4978,             0.69633,             0.11549,             0.06227,             0.54034,             0.51282,              0.8842,              1.0796,                 0.2,              4.7833,                   0,              0.0132,             0.75376,             0.40034,                   0,               0.087,             0.47303,                   0,                   0,                   0,                 0.5,             0.82213,                   0,                   0,              3.0511
             0.73219,             0.83448,             0.82866,             0.65014,             0.01896,            0.015888,            0.014204,             0.00712,             0.01234,             0.90446,             0.00052,               2.487,             0.78493,             0.10299,             0.05999,             0.49529,             0.58856,             0.98904,             0.95648,                 0.2,              4.5018,                   0,             0.01495,             0.75376,             0.42769,                   0,             0.10129,             0.47134,                   0,                   0,                   0,                 0.5,             0.80764,                   0,                   0,              3.5988
             0.71331,             0.82544,             0.81081,             0.63342,            0.019084,            0.014205,            0.016416,             0.00676,             0.01218,             0.91167,             0.00051,              2.3688,             0.78687,             0.10549,             0.05817,             0.49681,             0.58856,             0.90518,              0.8958,                 0.2,              4.0812,                   0,             0.01472,              0.6936,             0.41169,                   0,             0.10695,             0.50482,                   0,                   0,                   0,                 0.5,             0.84101,                   0,                   0,              3.1747
             0.74476,             0.82806,             0.83194,             0.64983,            0.020185,            0.018577,            0.013524,             0.00646,             0.01236,             0.89997,             0.00047,              2.3879,             0.84321,             0.11139,             0.06357,             0.47123,             0.59401,              1.1187,              0.9689,                 0.2,              4.8095,                   0,              0.0137,             0.75376,             0.39108,                   0,             0.10369,             0.48946,                   0,                   0,                   0,                 0.5,             0.85043,                   0,                   0,              3.5713
             0.73883,             0.82966,             0.83048,             0.65192,            0.019045,            0.016515,            0.014792,             0.00674,             0.01225,             0.91347,              0.0005,              2.4978,             0.79605,             0.10254,             0.05999,             0.50122,              0.5802,              1.0096,              0.9689,                 0.2,              4.5141,                   0,             0.01499,             0.76484,             0.40524,                   0,             0.10094,             0.47303,                   0,                   0,                   0,                 0.5,             0.81943,                   0,                   0,              3.5451
