   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.75825,             0.84818,             0.83458,             0.64755,            0.016658,            0.011535,             0.01889,                0.01,                0.01,             0.95954,              0.0005,              2.8435,                 0.8,                 0.1,             0.05023,             0.49836,                   1,             0.77225,             0.88281,                 0.2,              3.5078,                   0,             0.01403,              0.6453,             0.35317,                   0,             0.08954,                 0.5,                   0,                   0,                   0,                 0.5,             0.90989,                   0,                   0,                   3
             0.74956,             0.83863,             0.84319,             0.66104,             0.01561,            0.016867,            0.020505,              0.0097,                0.01,               0.937,             0.00052,              2.9913,             0.74902,                 0.1,             0.04841,             0.51384,               1.022,              1.0439,                   1,                 0.2,              4.0284,                   0,               0.015,              0.6842,                 0.4,                   0,             0.10254,             0.49322,                   0,                   0,                   0,                 0.5,             0.93312,                   0,                   0,              3.0995
              0.7364,              0.8527,             0.83289,             0.65037,            0.013152,            0.015682,            0.027493,             0.00847,                0.01,             0.91805,             0.00044,              2.9913,             0.74902,             0.06369,              0.0384,             0.51948,              1.6002,             0.99719,             0.94617,                 0.2,              3.2214,                   0,               0.015,             0.54693,             0.42585,                   0,             0.10254,             0.53824,                   0,                   0,                   0,                 0.5,             0.97902,                   0,                   0,                   2
             0.77167,             0.83427,               0.843,             0.66205,            0.016689,            0.011608,             0.01915,                0.01,             0.01007,             0.96107,             0.00051,              2.8007,             0.79844,             0.09964,              0.0501,             0.50293,              1.0198,             0.77767,              0.8842,                 0.2,              3.5078,                   0,             0.01404,              0.6489,             0.36098,                   0,             0.09085,             0.49693,                   0,                   0,                   0,                 0.5,             0.90989,                   0,                   0,                   3
             0.71358,              0.8424,             0.82557,             0.65173,            0.017449,            0.010881,            0.022262,             0.00845,                0.01,                0.98,             0.00039,              2.8435,             0.82004,             0.10271,              0.0533,             0.49305,             0.93501,             0.84401,             0.67995,                 0.2,              3.5078,                   0,             0.01268,             0.58578,             0.39148,                   0,             0.08297,             0.56625,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.73602,             0.84804,             0.82691,              0.6504,            0.014227,            0.010494,            0.016995,             0.00909,             0.01004,             0.95954,             0.00048,              2.8435,                0.95,             0.11201,             0.04463,             0.46293,             0.96407,             0.77225,             0.73289,                 0.2,              3.4785,                   0,              0.0132,              0.6736,             0.33996,                   0,             0.09762,             0.47729,                   0,                   0,                   0,                 0.5,             0.67896,                   0,                   0,              4.7697
             0.76757,             0.83691,             0.83815,             0.64785,            0.018101,            0.013865,             0.01986,                0.01,                0.01,             0.94087,             0.00037,              3.3999,             0.84779,             0.11899,              0.0549,             0.52751,             0.87489,             0.92128,             0.83695,                 0.2,              3.5078,                   0,             0.01262,              0.6453,             0.34339,                   0,             0.08043,             0.56589,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.73028,             0.85011,              0.8325,              0.6549,            0.015196,            0.016918,            0.023524,             0.00953,                0.01,             0.93514,             0.00052,              2.9918,             0.75157,             0.10075,             0.04816,             0.51839,              1.0386,              1.0412,                   1,                 0.2,              4.0394,                   0,             0.01496,             0.69237,                 0.4,                   0,             0.10338,             0.50179,                   0,                   0,                   0,                 0.5,             0.96922,                   0,                   0,              2.9921
              0.6995,               0.839,             0.81954,             0.65353,            0.015984,            0.015806,            0.021698,              0.0114,             0.01084,             0.92201,              0.0004,               2.597,             0.80155,             0.10828,             0.05172,             0.39195,              0.9696,              1.0131,                   1,                 0.2,              3.4463,                   0,               0.015,             0.76127,                 0.4,                   0,             0.09753,             0.49322,                   0,                   0,                   0,                 0.5,             0.78948,                   0,                   0,                   2
             0.76012,             0.84703,             0.83262,             0.65253,            0.019386,            0.016875,            0.028155,              0.0114,             0.01136,             0.81745,             0.00038,              3.0224,             0.88636,                 0.1,             0.05874,             0.62106,              1.2875,              1.0543,             0.88664,                 0.2,              4.0284,                   0,             0.01016,              0.6842,             0.38712,                   0,             0.08686,             0.43615,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0995
