               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065267,             0.05086,            0.026484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070395,           0.0032895,           0.0032895
                   1,            0.044031,            0.039274,            0.024884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039739,           0.0059671,           0.0059671
                   2,            0.032641,            0.033289,            0.021115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084234,           0.0079848,           0.0079848
                   3,             0.02415,            0.031439,            0.018067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.021036,            0.029975,            0.017125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.018597,            0.028629,            0.016001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.017074,            0.027705,            0.014892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.015607,            0.026948,            0.014427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.014603,            0.026091,            0.013294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.01358,            0.025568,            0.012664,             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,             0.00208,             0.00208,             0.00208
                   0,            0.062395,            0.034916,            0.026328,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06875,           0.0034722,           0.0034722
                   1,            0.039028,            0.030433,            0.024994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036391,           0.0062987,           0.0062987
                   2,            0.029158,            0.023539,            0.021937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   3,            0.023775,            0.021757,            0.018923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.019096,            0.020303,              0.0175,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,             0.01736,            0.019363,            0.016223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.016521,            0.018737,            0.015398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.015148,            0.018216,            0.014799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.014306,            0.017621,            0.013943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.013552,            0.017229,            0.013171,             0.75825,             0.84818,             0.83458,             0.64755,            0.016658,            0.011535,             0.01889,             0.00208,             0.00208,             0.00208
                   0,            0.064597,            0.051238,            0.027501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070165,           0.0032048,           0.0032048
                   1,            0.044051,            0.041044,            0.025463,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039294,           0.0058136,           0.0058136
                   2,            0.033505,            0.034504,            0.021192,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077794,           0.0077794,           0.0077794
                   3,            0.025559,            0.033768,            0.019621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077794,           0.0077794,           0.0077794
