               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,            0.028608,            0.019687,            0.018929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.015747,            0.009646,            0.009646
                   4,            0.023565,            0.019034,            0.018182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090856,           0.0090856,           0.0090856
                   5,            0.022831,            0.018459,            0.017582,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090856,           0.0090856,           0.0090856
                   6,            0.019937,            0.017825,            0.016594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007602,            0.007602,            0.007602
                   7,            0.017923,            0.017371,            0.015519,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061184,           0.0061184,           0.0061184
                   8,            0.016878,             0.01704,            0.014937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046348,           0.0046348,           0.0046348
                   9,            0.015345,            0.016469,            0.013702,             0.74295,             0.83888,             0.83223,             0.65499,            0.017611,            0.012155,            0.022385,           0.0031512,           0.0031512,           0.0031512
                   0,            0.065251,            0.031958,            0.026364,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.058011,           0.0038855,           0.0038855
                   1,            0.045238,             0.02548,            0.023779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043671,           0.0070498,           0.0070498
                   2,            0.037586,            0.021515,            0.019913,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028553,           0.0094361,           0.0094361
                   3,            0.029453,            0.020494,            0.017885,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.012656,            0.011044,            0.011044
                   4,            0.024115,            0.019505,            0.017276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097125,           0.0097125,           0.0097125
                   5,             0.02269,             0.01898,            0.016332,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097125,           0.0097125,           0.0097125
                   6,            0.020118,            0.018178,            0.015363,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081256,           0.0081256,           0.0081256
                   7,            0.018246,            0.017702,            0.014387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065388,           0.0065388,           0.0065388
                   8,            0.016778,            0.017458,            0.013424,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049519,           0.0049519,           0.0049519
                   9,            0.015417,            0.016792,            0.012183,             0.74169,             0.86086,              0.8343,             0.64378,            0.018309,            0.012061,            0.017728,            0.003365,            0.003365,            0.003365
                   0,            0.066682,            0.030808,            0.026531,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.057971,            0.003957,            0.003957
                   1,            0.045029,             0.02498,            0.024194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043575,           0.0071795,           0.0071795
                   2,            0.038085,            0.021029,            0.020657,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028387,           0.0096097,           0.0096097
