   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.75554,             0.83285,             0.83627,             0.60041,             0.02688,            0.021533,            0.019817,             0.00958,                0.01,             0.95195,             0.00044,              4.0594,                0.95,             0.09065,              0.0672,             0.50733,              1.1253,              1.2498,              1.0736,                 0.2,                   4,                   0,             0.01789,             0.44875,             0.32174,                   0,             0.06623,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.75305,              0.8455,             0.83838,             0.64489,            0.018993,            0.013908,            0.018158,             0.01466,                0.01,             0.89944,             0.00046,              3.5556,                0.95,             0.07931,             0.05448,             0.48307,              1.0328,             0.91913,             0.83011,                 0.2,              2.9579,                   0,               0.015,             0.60471,             0.40014,                   0,             0.09242,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0768
             0.73409,             0.84067,             0.81803,             0.63546,            0.017867,            0.011596,            0.022634,             0.01538,             0.01169,             0.89944,             0.00043,              4.1436,                0.95,             0.06723,             0.05448,             0.52499,              1.0442,             0.83464,             0.75254,                 0.2,              2.9579,                   0,             0.01584,             0.60471,             0.40014,                   0,             0.08902,             0.58325,                   0,                   0,                   0,                 0.5,             0.89607,                   0,                   0,                   2
             0.74295,             0.83888,             0.83223,             0.65499,            0.017611,            0.012155,            0.022385,             0.01502,             0.01225,             0.90625,             0.00042,              4.3683,                0.95,             0.06985,             0.05448,             0.53206,              1.0442,             0.82715,             0.80029,                 0.2,              2.9288,                   0,             0.01604,             0.60923,             0.41124,                   0,             0.08874,             0.60778,                   0,                   0,                   0,                 0.5,             0.89607,                   0,                   0,                   2
             0.74169,             0.86086,              0.8343,             0.64378,            0.018309,            0.012061,            0.017728,             0.01606,             0.01191,              0.8944,              0.0004,              4.0795,             0.92334,              0.0714,             0.05448,             0.48866,              1.0575,             0.85073,             0.77659,                 0.2,              2.8671,                   0,             0.01555,             0.59378,             0.40014,                   0,             0.08257,             0.54172,                   0,                   0,                   0,                 0.5,             0.95106,                   0,                   0,              2.2585
             0.71145,             0.83065,             0.80816,             0.61372,            0.019807,            0.011779,            0.026083,             0.01625,             0.01191,             0.88659,              0.0004,              4.0504,             0.91147,              0.0714,             0.05522,             0.49184,              1.0583,              0.8277,             0.76965,                 0.2,              2.8746,                   0,             0.01519,             0.59378,             0.38726,                   0,             0.08257,              0.5177,                   0,                   0,                   0,                 0.5,             0.94614,                   0,                   0,              2.2585
             0.75286,             0.85378,             0.84577,             0.66072,            0.018154,            0.011665,            0.019202,             0.01616,             0.01441,             0.85351,              0.0004,              3.7481,                0.95,             0.06217,             0.05448,             0.48866,              1.1254,             0.75247,             0.88955,                 0.2,              2.8671,                   0,             0.01555,             0.56543,             0.27028,                   0,             0.09626,             0.46278,                   0,                   0,                   0,                 0.5,             0.95106,                   0,                   0,                   2
             0.75212,             0.83008,              0.8303,             0.64175,            0.017627,            0.011804,            0.020521,             0.01508,             0.01225,             0.90567,             0.00042,              4.4899,                0.95,             0.06985,              0.0537,             0.51617,              1.0442,             0.79732,             0.80383,                 0.2,              2.9288,                   0,             0.01604,             0.61587,             0.42904,                   0,             0.09036,             0.60778,                   0,                   0,                   0,                 0.5,             0.89607,                   0,                   0,              2.0738
             0.74763,             0.84827,             0.84172,             0.64474,            0.019593,            0.012048,            0.017277,              0.0139,             0.01263,             0.90626,             0.00042,              4.3577,                0.95,             0.06274,             0.05891,             0.49631,               1.005,             0.80925,               0.803,                 0.2,              2.9865,                   0,             0.01632,             0.56276,             0.44595,                   0,             0.09245,             0.59727,                   0,                   0,                   0,                 0.5,             0.95539,                   0,                   0,                   2
