   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.73295,             0.83705,             0.82451,             0.63795,            0.013855,            0.014154,            0.014794,             0.01327,                0.01,             0.86413,             0.00055,                   3,             0.68419,                 0.1,             0.04371,              0.3953,              0.8171,              1.0284,             0.73556,                 0.2,                   4,                   0,             0.01198,             0.76948,             0.34723,                   0,             0.07016,                 0.5,                   0,                   0,                   0,                 0.5,             0.77308,                   0,                   0,              4.0163
             0.75582,             0.83333,             0.84063,              0.6577,            0.015743,             0.01844,             0.01684,             0.01047,              0.0109,             0.94065,             0.00051,              2.9096,              0.7543,             0.10112,             0.04905,             0.48922,             0.78253,              1.1027,              1.0048,                 0.2,              3.4907,                   0,             0.01409,             0.74949,             0.36755,                   0,             0.09864,             0.50859,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9058
             0.76162,             0.84913,             0.84938,             0.66412,            0.015798,            0.016263,            0.019453,                0.01,                0.01,             0.93372,             0.00051,              3.1134,             0.77154,                 0.1,             0.04957,             0.49034,              1.0097,             0.98877,              1.0172,                 0.2,              4.0703,                   0,              0.0152,              0.7012,             0.38441,                   0,             0.10369,             0.51592,                   0,                   0,                   0,                 0.5,             0.98244,                   0,                   0,              2.9104
             0.73006,             0.84746,             0.82679,             0.65496,            0.016013,            0.015432,            0.018789,             0.01054,             0.01099,             0.94753,             0.00063,              3.0204,             0.79732,             0.09325,             0.05132,             0.43829,             0.93894,              1.0023,             0.95676,                 0.2,              5.6233,                   0,             0.02029,              0.6078,             0.30937,                   0,             0.09952,             0.46582,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0641
              0.7613,             0.83206,             0.84333,             0.65596,            0.016307,            0.018343,            0.015825,             0.01038,             0.01288,                0.98,             0.00065,              2.7064,             0.79732,             0.10019,             0.05001,             0.48065,             0.86352,                   1,              1.1854,                 0.2,              4.8245,                   0,             0.01542,              0.7708,             0.37959,                   0,             0.11577,             0.44751,                   0,                   0,                   0,                 0.5,             0.90938,                   0,                   0,              2.2595
              0.7707,             0.84569,             0.84988,             0.66896,            0.015965,            0.016313,            0.018904,             0.01017,              0.0101,             0.94741,              0.0005,              3.0136,             0.79732,              0.0972,             0.05073,                 0.5,             0.99358,                   1,              1.0475,                 0.2,              4.0432,                   0,             0.01496,             0.72031,             0.40834,                   0,             0.09718,             0.51738,                   0,                   0,                   0,                 0.5,             0.92216,                   0,                   0,                   3
              0.7719,             0.83325,             0.84854,             0.67462,            0.015533,            0.015502,             0.01864,                0.01,             0.01068,               0.921,             0.00056,              2.9251,             0.75438,             0.10633,             0.04852,             0.46165,              1.0384,             0.93377,              1.0454,                 0.2,              3.5156,                   0,             0.01538,             0.67201,             0.36829,                   0,             0.10534,             0.57788,                   0,                   0,                   0,                 0.5,             0.99022,                   0,                   0,              2.8581
             0.72986,             0.83848,             0.82749,             0.64635,            0.016091,             0.01293,            0.019469,             0.01313,                0.01,                0.98,             0.00047,              2.0983,             0.88477,             0.10535,             0.04949,             0.47523,              1.1659,             0.73264,              1.0454,                 0.2,              4.5291,                   0,             0.01584,             0.69298,             0.45097,                   0,             0.11111,             0.60945,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8692
             0.74643,              0.8423,             0.83382,             0.65758,            0.015531,            0.016188,            0.017606,             0.00914,             0.01035,             0.95233,             0.00054,              3.1502,             0.90245,             0.08648,             0.04949,             0.41848,              1.1411,                   1,              0.9618,                 0.2,              4.0823,                   0,             0.01154,             0.76089,             0.42664,                   0,             0.09325,             0.47501,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1694
              0.7493,             0.83483,              0.8299,              0.6491,            0.016704,            0.016176,            0.020578,             0.00947,                0.01,             0.93424,             0.00049,              2.9002,                 0.8,             0.09739,             0.04949,             0.49974,              1.0544,             0.94223,              1.0744,                 0.2,              3.3509,                   0,             0.01343,             0.69298,             0.33118,                   0,             0.07769,             0.48414,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8692
             0.74651,              0.8553,              0.8382,             0.66059,            0.016512,            0.014142,            0.017172,             0.00875,             0.01068,             0.96081,             0.00048,              3.1824,             0.81184,             0.12521,             0.05242,             0.46206,              1.0354,                   1,             0.78413,                 0.2,                   4,                   0,             0.00968,             0.55787,             0.39318,                   0,             0.12535,             0.46397,                   0,                   0,                   0,                 0.5,             0.92495,                   0,                   0,              2.8692
             0.75356,              0.8369,             0.83943,             0.65897,            0.017272,            0.013655,            0.018147,              0.0111,             0.01068,             0.91717,             0.00048,              3.8882,             0.60019,             0.13519,             0.05431,             0.51531,             0.79839,             0.79512,              1.0454,                 0.2,              3.6831,                   0,             0.01508,              0.6703,             0.38818,                   0,             0.10601,             0.48234,                   0,                   0,                   0,                 0.5,             0.98439,                   0,                   0,              2.8692
             0.76213,             0.83781,              0.8484,             0.66883,            0.015457,            0.017054,            0.019211,             0.01181,             0.01158,             0.93792,             0.00048,              2.7262,             0.81603,             0.11266,             0.04875,             0.46154,              1.0553,                   1,              1.0454,                 0.2,              3.9818,                   0,               0.015,             0.63527,             0.39189,                   0,             0.09775,             0.46397,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2482
             0.72029,             0.84738,             0.84166,             0.65339,            0.015906,            0.017175,            0.020885,             0.01086,             0.01034,             0.97559,             0.00048,               2.915,             0.80187,             0.09813,             0.04839,             0.46183,              1.1008,              1.0255,              1.0864,                 0.2,               4.085,                   0,             0.01631,             0.77175,             0.45939,                   0,              0.0878,             0.50181,                   0,                   0,                   0,                 0.5,             0.84211,                   0,                   0,              2.8692
             0.74426,             0.85507,             0.83947,             0.66807,            0.015767,            0.016739,            0.019361,                0.01,              0.0106,             0.93424,             0.00048,              2.9002,             0.78663,             0.09802,             0.04962,             0.47382,              1.0313,              1.0061,               1.058,                 0.2,              3.9968,                   0,             0.01504,              0.6941,             0.39318,                   0,             0.09286,             0.46397,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8893
              0.7399,             0.81049,             0.80846,             0.59233,            0.019129,            0.013702,            0.028244,             0.00977,             0.01068,             0.96001,             0.00047,              2.8516,             0.90478,             0.08001,             0.04739,             0.67314,              1.1262,             0.73417,              1.0454,                 0.2,                   4,                   0,             0.01945,             0.59489,               0.403,                   0,             0.08743,             0.59943,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0172
