               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065267,             0.05086,            0.026484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070395,           0.0032895,           0.0032895
                   1,            0.044031,            0.039274,            0.024884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039739,           0.0059671,           0.0059671
                   2,            0.032641,            0.033289,            0.021115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084234,           0.0079848,           0.0079848
                   3,             0.02415,            0.031439,            0.018067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.021036,            0.029975,            0.017125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.018597,            0.028629,            0.016001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.017074,            0.027705,            0.014892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.015607,            0.026948,            0.014427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.014603,            0.026091,            0.013294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.01358,            0.025568,            0.012664,             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,             0.00208,             0.00208,             0.00208
                   0,            0.065969,            0.050647,            0.026575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070514,           0.0032653,           0.0032653
                   1,            0.043449,            0.039595,            0.024953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039984,           0.0059234,           0.0059234
                   2,             0.03246,            0.033834,            0.020818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087997,           0.0079264,           0.0079264
                   3,            0.023932,            0.031647,            0.018163,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070093,           0.0070093,           0.0070093
                   4,             0.02082,            0.029923,             0.01713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070093,           0.0070093,           0.0070093
                   5,            0.018722,             0.02866,            0.015897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060224,           0.0060224,           0.0060224
                   6,            0.017111,            0.027806,            0.015139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050355,           0.0050355,           0.0050355
                   7,            0.015606,            0.027004,            0.014475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040486,           0.0040486,           0.0040486
                   8,            0.014402,            0.026174,            0.013528,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030617,           0.0030617,           0.0030617
                   9,            0.013557,              0.0256,            0.012817,             0.75531,             0.84598,             0.84269,             0.66497,            0.016166,             0.01632,            0.019362,           0.0020748,           0.0020748,           0.0020748
                   0,            0.067016,            0.050089,            0.026007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069876,           0.0035078,           0.0035078
                   1,            0.044756,            0.039434,            0.024331,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03865,           0.0063633,           0.0063633
                   2,             0.03371,             0.03286,            0.020589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083649,           0.0083649,           0.0083649
                   3,            0.025555,            0.031287,             0.01782,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083649,           0.0083649,           0.0083649
